uid,ST1_GAP(eV)
test_217,0.5878069
test_218,0.69694644
test_219,0.5751462
test_220,0.9312747
test_221,0.6937982
test_222,0.664564
test_223,1.3284428
test_224,1.1207204
test_225,0.5088925
test_226,0.4821093
test_227,1.1265106
test_228,1.0063401
test_229,0.7254083
test_230,0.94759226
test_231,0.6851101
test_232,1.278707
test_233,0.7806927
test_234,1.0128915
test_235,0.27395716
test_236,0.762979
test_237,0.4625833
test_238,0.46290815
test_239,1.8012394
test_240,0.898955
test_241,1.4222581
test_242,0.4884365
test_243,1.3882811
test_244,1.0714353
test_245,0.7540718
test_246,0.45561576
test_247,0.92612135
test_248,0.6781557
test_249,0.92266035
test_250,1.1745944
test_251,2.6007545
test_252,1.7401513
test_253,0.4333122
test_254,1.0420334
test_255,1.0504544
test_256,1.0512849
test_257,1.0984466
test_258,0.8144412
test_259,0.8462923
test_260,0.82981664
test_261,0.8981065
test_262,1.287034
test_263,0.20086774
test_264,0.5335313
test_265,0.783352
test_266,1.1062068
test_267,1.2694538
test_268,1.2243547
test_269,0.89745367
test_270,1.0346079
test_271,0.41442806
test_272,1.0942395
test_273,0.9664991
test_274,0.7241498
test_275,0.87222916
test_276,0.8817614
test_277,0.8202909
test_278,0.5344803
test_279,0.68675876
test_280,1.0392344
test_281,0.5464471
test_282,1.1155694
test_283,0.99410766
test_284,0.8605218
test_285,1.099165
test_286,0.54576814
test_287,0.7412963
test_288,1.2765516
test_289,0.8099723
test_290,0.7161329
test_291,0.4640606
test_292,1.538382
test_293,1.0599388
test_294,0.14400846
test_295,1.0437467
test_296,0.99172276
test_297,0.83106726
test_298,1.2670996
test_299,0.57327485
test_300,1.13023
test_301,1.0429292
test_302,1.2693553
test_303,0.4475352
test_304,0.65192103
test_305,1.2114668
test_306,0.8518
test_307,0.6283445
test_308,1.6299924
test_309,0.60157585
test_310,0.8913952
test_311,0.56328493
test_312,0.6866294
test_313,0.7452495
test_314,0.99059016
test_315,0.8223257
test_316,0.8193439
test_317,1.1174028
test_318,0.60605395
test_319,0.9121384
test_320,0.32901978
test_321,1.0809977
test_322,0.5286379
test_323,0.9463532
test_324,1.0090463
test_325,1.4586347
test_326,0.878963
test_327,0.6399426
test_328,0.97614956
test_329,0.92083377
test_330,0.8819647
test_331,1.0163816
test_332,1.086029
test_333,1.0715293
test_334,0.698084
test_335,0.37609598
test_336,1.1395545
test_337,0.9687802
test_338,1.0692482
test_339,1.0187649
test_340,1.1338619
test_341,1.4843384
test_342,0.9715161
test_343,1.1140726
test_344,0.49082404
test_345,0.5169351
test_346,0.83003825
test_347,0.558171
test_348,0.9897135
test_349,0.8052724
test_350,0.9447809
test_351,0.24999686
test_352,0.4711874
test_353,1.1623592
test_354,1.3707654
test_355,0.79947656
test_356,1.2596266
test_357,1.2960446
test_358,0.8521224
test_359,0.5831572
test_360,0.12573172
test_361,0.5376252
test_362,0.87289417
test_363,1.2301055
test_364,0.8971034
test_365,0.971527
test_366,0.71363485
test_367,0.6116972
test_368,0.5973973
test_369,0.5607097
test_370,0.8279132
test_371,0.45602882
test_372,1.0422726
test_373,0.74569213
test_374,1.2139448
test_375,1.3032687
test_376,0.93807864
test_377,1.1222768
test_378,1.0442498
test_379,1.4033189
test_380,1.0320742
test_381,1.224735
test_382,1.0706067
test_383,0.9326587
test_384,0.19303057
test_385,0.6832689
test_386,1.1133686
test_387,0.6627184
test_388,1.1596775
test_389,0.5971422
test_390,1.1090611
test_391,1.1949596
test_392,0.8718754
test_393,1.032833
test_394,0.894379
test_395,1.3946632
test_396,0.7918255
test_397,0.62130463
test_398,1.2242222
test_399,0.7578085
test_400,0.5434984
test_401,1.0664268
test_402,0.61335844
test_403,1.1882565
test_404,0.8466914
test_405,1.1495049
test_406,1.0108337
test_407,0.52718365
test_408,0.81749606
test_409,1.2268542
test_410,0.93227416
test_411,1.2223637
test_412,0.9612485
test_413,0.8508857
test_414,1.0130148
test_415,0.43016616
test_416,0.9143643
test_417,1.0522203
test_418,1.0416516
test_419,1.1502578
test_420,0.4625833
test_421,1.0631926
test_422,0.9803672
test_423,1.1240239
test_424,0.9072341
test_425,1.107845
test_426,0.31658524
test_427,0.8230151
test_428,0.9472755
test_429,1.1713048
test_430,0.8595385
test_431,0.5313637
test_432,0.6851075
test_433,1.344893
test_434,0.88135725
test_435,1.3950478
test_436,1.2286382
test_437,1.16432
test_438,0.7479844
test_439,1.0567446
test_440,0.43327236
test_441,1.01787
test_442,0.8478952
test_443,0.898279
test_444,1.2309971
test_445,0.89040256
test_446,0.53746367
test_447,1.1731288
test_448,0.79720163
test_449,0.70563245
test_450,1.0475352
test_451,1.0079858
test_452,0.9426054
test_453,0.40195662
test_454,1.045692
test_455,0.47949588
test_456,0.82177603
test_457,0.93596125
test_458,1.1149677
test_459,1.872308
test_460,0.87531745
test_461,1.0553651
test_462,1.2603494
test_463,0.26990157
test_464,0.7289753
test_465,0.5606656
test_466,1.4118251
test_467,0.02347228
test_468,1.2103591
test_469,1.033662
test_470,1.0524309
test_471,0.88246083
test_472,0.5825794
test_473,0.8508648
test_474,0.9926164
test_475,1.0396352
test_476,1.063056
test_477,0.88808906
test_478,1.2394949
test_479,0.7317053
test_480,0.9064115
test_481,0.8088503
test_482,1.2103319
test_483,0.54355824
test_484,0.8763132
test_485,1.0016265
test_486,0.5575356
test_487,0.2729287
test_488,0.8367915
test_489,0.95049846
test_490,1.0572965
test_491,0.776704
test_492,0.88530016
test_493,0.5463141
test_494,1.1245357
test_495,1.0942473
test_496,0.97923064
test_497,1.0783525
test_498,0.8117498
test_499,0.4908718
test_500,0.9670832
test_501,0.9022827
test_502,0.26890963
test_503,0.16729061
test_504,0.23092197
test_505,0.1804311
test_506,0.031778544
test_507,0.19693996
test_508,0.17617384
test_509,0.20213658
test_510,0.15044925
test_511,0.123891756
test_512,0.15187426
test_513,0.0586088
test_514,0.015516132
test_515,0.11505279
test_516,0.0408549
test_517,0.19630153
test_518,0.14974105
test_519,0.18362336
test_520,0.37995636
test_521,-0.022452474
test_522,0.24857084
test_523,0.18944079
test_524,0.1003885
test_525,0.5519296
test_526,0.59505486
test_527,0.6869535
test_528,0.04133734
test_529,0.00044339895
test_530,0.14914775
test_531,-0.023549527
test_532,0.64645755
test_533,0.7158103
test_534,0.64996755
test_535,0.6579445
test_536,0.13049622
test_537,0.7330737
test_538,0.689474
test_539,0.7028151
test_540,0.9470596
test_541,0.9407225
test_542,0.6399683
test_543,0.62524456
test_544,0.6079372
test_545,0.6408535
test_546,0.6653087
test_547,0.861971
test_548,0.5986086
test_549,0.91218674
test_550,0.5656887
test_551,0.44109595
test_552,0.62566495
test_553,0.108419746
test_554,0.10072419
test_555,0.1510968
test_556,0.6143195
test_557,0.4851591
test_558,0.20749982
test_559,0.5296798
test_560,0.4356696
test_561,-0.0040585995
test_562,0.11046721
test_563,0.13713907
test_564,0.01237911
test_565,-0.05754739
test_566,0.08829507
test_567,0.44229573
test_568,0.19275743
test_569,0.50071067
test_570,0.16828862
test_571,0.039575428
test_572,0.17673098
test_573,0.18945695
test_574,-0.12173417
test_575,0.13217321
test_576,0.28274998
test_577,0.3060047
test_578,0.0013366938
test_579,0.21321785
test_580,0.31380075
test_581,0.49192297
test_582,0.04473865
test_583,0.008610964
test_584,0.11906521
test_585,0.23915316
test_586,0.4166167
test_587,-0.010623395
test_588,0.19440344
test_589,0.896316
test_590,0.99390095
test_591,0.022104919
test_592,0.046139807
test_593,0.018739492
test_594,0.35881716
test_595,0.43322572
test_596,0.36263528
test_597,0.109312445
test_598,0.005554408
test_599,-0.0087917745
test_600,0.32007203
test_601,0.37044433
